"","MeasNum","OrigName","CleanName"
"1",1,"tBodyAcc-mean()-X","t.Body.Acc.mean.X"
"2",2,"tBodyAcc-mean()-Y","t.Body.Acc.mean.Y"
"3",3,"tBodyAcc-mean()-Z","t.Body.Acc.mean.Z"
"4",4,"tBodyAcc-std()-X","t.Body.Acc.std.X"
"5",5,"tBodyAcc-std()-Y","t.Body.Acc.std.Y"
"6",6,"tBodyAcc-std()-Z","t.Body.Acc.std.Z"
"7",41,"tGravityAcc-mean()-X","t.Gravity.Acc.mean.X"
"8",42,"tGravityAcc-mean()-Y","t.Gravity.Acc.mean.Y"
"9",43,"tGravityAcc-mean()-Z","t.Gravity.Acc.mean.Z"
"10",44,"tGravityAcc-std()-X","t.Gravity.Acc.std.X"
"11",45,"tGravityAcc-std()-Y","t.Gravity.Acc.std.Y"
"12",46,"tGravityAcc-std()-Z","t.Gravity.Acc.std.Z"
"13",81,"tBodyAccJerk-mean()-X","t.Body.Acc.Jerk.mean.X"
"14",82,"tBodyAccJerk-mean()-Y","t.Body.Acc.Jerk.mean.Y"
"15",83,"tBodyAccJerk-mean()-Z","t.Body.Acc.Jerk.mean.Z"
"16",84,"tBodyAccJerk-std()-X","t.Body.Acc.Jerk.std.X"
"17",85,"tBodyAccJerk-std()-Y","t.Body.Acc.Jerk.std.Y"
"18",86,"tBodyAccJerk-std()-Z","t.Body.Acc.Jerk.std.Z"
"19",121,"tBodyGyro-mean()-X","t.Body.Gyro.mean.X"
"20",122,"tBodyGyro-mean()-Y","t.Body.Gyro.mean.Y"
"21",123,"tBodyGyro-mean()-Z","t.Body.Gyro.mean.Z"
"22",124,"tBodyGyro-std()-X","t.Body.Gyro.std.X"
"23",125,"tBodyGyro-std()-Y","t.Body.Gyro.std.Y"
"24",126,"tBodyGyro-std()-Z","t.Body.Gyro.std.Z"
"25",161,"tBodyGyroJerk-mean()-X","t.Body.Gyro.Jerk.mean.X"
"26",162,"tBodyGyroJerk-mean()-Y","t.Body.Gyro.Jerk.mean.Y"
"27",163,"tBodyGyroJerk-mean()-Z","t.Body.Gyro.Jerk.mean.Z"
"28",164,"tBodyGyroJerk-std()-X","t.Body.Gyro.Jerk.std.X"
"29",165,"tBodyGyroJerk-std()-Y","t.Body.Gyro.Jerk.std.Y"
"30",166,"tBodyGyroJerk-std()-Z","t.Body.Gyro.Jerk.std.Z"
"31",201,"tBodyAccMag-mean()","t.Body.Acc.Mag.mean"
"32",202,"tBodyAccMag-std()","t.Body.Acc.Mag.std"
"33",214,"tGravityAccMag-mean()","t.Gravity.Acc.Mag.mean"
"34",215,"tGravityAccMag-std()","t.Gravity.Acc.Mag.std"
"35",227,"tBodyAccJerkMag-mean()","t.Body.Acc.Jerk.Mag.mean"
"36",228,"tBodyAccJerkMag-std()","t.Body.Acc.Jerk.Mag.std"
"37",240,"tBodyGyroMag-mean()","t.Body.Gyro.Mag.mean"
"38",241,"tBodyGyroMag-std()","t.Body.Gyro.Mag.std"
"39",253,"tBodyGyroJerkMag-mean()","t.Body.Gyro.Jerk.Mag.mean"
"40",254,"tBodyGyroJerkMag-std()","t.Body.Gyro.Jerk.Mag.std"
"41",266,"fBodyAcc-mean()-X","f.Body.Acc.mean.X"
"42",267,"fBodyAcc-mean()-Y","f.Body.Acc.mean.Y"
"43",268,"fBodyAcc-mean()-Z","f.Body.Acc.mean.Z"
"44",269,"fBodyAcc-std()-X","f.Body.Acc.std.X"
"45",270,"fBodyAcc-std()-Y","f.Body.Acc.std.Y"
"46",271,"fBodyAcc-std()-Z","f.Body.Acc.std.Z"
"47",294,"fBodyAcc-meanFreq()-X","f.Body.Acc.mean.Freq.X"
"48",295,"fBodyAcc-meanFreq()-Y","f.Body.Acc.mean.Freq.Y"
"49",296,"fBodyAcc-meanFreq()-Z","f.Body.Acc.mean.Freq.Z"
"50",345,"fBodyAccJerk-mean()-X","f.Body.Acc.Jerk.mean.X"
"51",346,"fBodyAccJerk-mean()-Y","f.Body.Acc.Jerk.mean.Y"
"52",347,"fBodyAccJerk-mean()-Z","f.Body.Acc.Jerk.mean.Z"
"53",348,"fBodyAccJerk-std()-X","f.Body.Acc.Jerk.std.X"
"54",349,"fBodyAccJerk-std()-Y","f.Body.Acc.Jerk.std.Y"
"55",350,"fBodyAccJerk-std()-Z","f.Body.Acc.Jerk.std.Z"
"56",373,"fBodyAccJerk-meanFreq()-X","f.Body.Acc.Jerk.mean.Freq.X"
"57",374,"fBodyAccJerk-meanFreq()-Y","f.Body.Acc.Jerk.mean.Freq.Y"
"58",375,"fBodyAccJerk-meanFreq()-Z","f.Body.Acc.Jerk.mean.Freq.Z"
"59",424,"fBodyGyro-mean()-X","f.Body.Gyro.mean.X"
"60",425,"fBodyGyro-mean()-Y","f.Body.Gyro.mean.Y"
